"timestamp","instrument_id","open","high","low","close","volume"
"2024-01-02T23:50:00.000000Z",15144,472.64,472.64,472.64,472.64,2
"2024-01-02T23:45:00.000000Z",15144,472.6,472.65,472.6,472.65,345
"2024-01-02T23:40:00.000000Z",15144,472.63,472.65,472.63,472.65,2
"2024-01-02T23:30:00.000000Z",15144,472.6,472.6,472.6,472.6,145
"2024-01-02T23:25:00.000000Z",15144,472.59,472.6,472.58,472.6,1535
"2024-01-02T23:15:00.000000Z",15144,472.65,472.65,472.58,472.58,54
"2024-01-02T23:10:00.000000Z",15144,472.8,472.8,472.8,472.8,22
"2024-01-02T23:00:00.000000Z",15144,472.8,472.83,472.71,472.79,1633
"2024-01-02T22:55:00.000000Z",15144,472.76,472.79,472.76,472.79,2501
"2024-01-02T22:50:00.000000Z",15144,472.7,472.7,472.7,472.7,200
"2024-01-02T22:45:00.000000Z",15144,472.7,472.7,472.68,472.68,2412
"2024-01-02T22:40:00.000000Z",15144,472.73,472.73,472.7,472.7,259
"2024-01-02T22:35:00.000000Z",15144,472.71,472.75,472.67,472.75,33
"2024-01-02T22:25:00.000000Z",15144,472.68,472.73,472.67,472.73,285
"2024-01-02T22:20:00.000000Z",15144,472.71,472.71,472.71,472.71,6999
"2024-01-02T22:15:00.000000Z",15144,472.73,472.73,472.71,472.71,11
"2024-01-02T22:05:00.000000Z",15144,472.66,472.66,472.63,472.63,840
"2024-01-02T22:00:00.000000Z",15144,472.68,472.68,472.62,472.62,601
"2024-01-02T21:55:00.000000Z",15144,472.74,472.74,472.69,472.69,600
"2024-01-02T21:50:00.000000Z",15144,472.77,472.8,472.7,472.75,6352
"2024-01-02T21:45:00.000000Z",15144,472.75,472.78,472.74,472.76,2687
"2024-01-02T21:40:00.000000Z",15144,472.66,472.7,472.53,472.7,13834
"2024-01-02T21:35:00.000000Z",15144,472.6,472.7,472.6,472.62,8833
"2024-01-02T21:30:00.000000Z",15144,472.54,472.6,472.53,472.6,18852
"2024-01-02T21:25:00.000000Z",15144,472.6,472.6,472.54,472.54,7807
"2024-01-02T21:20:00.000000Z",15144,472.59,472.6,472.55,472.57,6790
"2024-01-02T21:15:00.000000Z",15144,472.63,472.64,472.54,472.57,39649
"2024-01-02T21:10:00.000000Z",15144,472.65,472.73,472.59,472.63,74755
"2024-01-02T21:05:00.000000Z",15144,472.63,472.76,472.61,472.65,60221
"2024-01-02T21:00:00.000000Z",15144,472.6,472.74,472.36,472.6,172473
"2024-01-02T20:55:00.000000Z",15144,471.94,472.66,471.87,472.6,2250976
"2024-01-02T20:50:00.000000Z",15144,471.23,472.1,471.23,471.93,1347507
